,exercise_name,num_reps
0,Arm Band Adjustment,-1
1,Band Pull-Down Row,20
2,Bicep Curl,26
3,Biceps Curl (band),20
4,Burpee,11
5,Butterfly Sit-up,20
6,Chest Press (rack),20
7,Crunch,20
8,Device on Table,-1
9,Dip,15
10,Dumbbell Deadlift Row,19
11,Dumbbell Row (knee on bench) (label spans both arms),20
12,Dumbbell Squat (hands at side),20
13,Dynamic Stretch (at your own pace),-1
14,Elliptical machine,-1
15,Fast Alternating Punches,-1
16,Jump Rope,-1
17,Jumping Jacks,20
18,Kettlebell Swing,15
19,Lateral Raise,15
20,Lawnmower (left arm),15
21,Lawnmower (right arm),15
22,"Lunge (alternating both legs, weight optional)",20
23,Medicine Ball Slam,15
24,Non-Exercise,-1
25,Overhead Triceps Extension,15
26,Plank,-1
27,Power Boat pose,-1
28,Pushup (knee or foot variation),15
29,Pushups,20
30,Repetitive Stretching,-1
31,Rowing machine,-1
32,Running (treadmill),-1
33,Russian Twist,40
34,Seated Back Fly,15
35,Shoulder Press (dumbbell),15
36,Side Plank Left side,-1
37,Side Plank Right side,-1
38,Sit-up (hands positioned behind head),15
39,Sit-ups,30
40,Squat,30
41,"Squat (arms in front of body, parallel to ground)",20
42,Squat (hands behind head),21
43,Squat (kettlebell / goblet),15
44,Squat Jump,20
45,Squat Rack Shoulder Press,15
46,Static Stretch (at your own pace),-1
47,Static stretch,-1
48,Tap Left Device,-1
49,Tap Right Device,-1
50,Triceps Kickback (knee on bench) (label spans both arms),20
51,Triceps extension (lying down),20
52,"Two-arm Dumbbell Curl (both arms, not alternating)",15
53,Unlisted Exercise,-1
54,V-up,15
55,Walk,-1
56,Walking lunge,30
57,Wall Ball,20
58,Wall Squat,-1
59,Arm straight up,-1
60,Bicep Curl,25
61,Device on Table,-1
62,Dumbbell Deadlift Row,25
63,Jumping Jacks,25
64,Non-Exercise,-1
65,Plank,-1
66,Power Boat pose,-1
67,Pushups,15
68,Side Plank Left side,-1
69,Side Plank Right side,-1
70,Sit-ups,30
71,Squat,25
72,Squat Jump,20
73,Tap IMU Device,-1
74,Tap Left Device,-1
75,Walk,-1
76,Walking lunge,30
77,Bicep Curl,29
78,Device on Table,-1
79,Dumbbell Deadlift Row,24
80,Jumping Jacks,30
81,Non-Exercise,-1
82,Plank,-1
83,Power Boat pose,-1
84,Pushups,20
85,Side Plank Left side,-1
86,Side Plank Right side,-1
87,Sit-ups,30
88,Squat,30
89,Squat Jump,20
90,Tap Left Device,-1
91,Tap Right Device,-1
92,Walk,-1
93,Walking lunge,32
94,Arm Band Adjustment,-1
95,Bicep Curl,30
96,Device on Table,-1
97,Dumbbell Deadlift Row,30
98,Jumping Jacks,29
99,Non-Exercise,-1
100,Plank,-1
101,Power Boat pose,-1
102,Pushups,20
103,Side Plank Left side,-1
104,Side Plank Right side,-1
105,Sit-ups,30
106,Squat,30
107,Squat Jump,20
108,Tap Left Device,-1
109,Tap Right Device,-1
110,Unlisted Exercise,-1
111,Walk,-1
112,Walking lunge,30
113,Arm Band Adjustment,-1
114,Bicep Curl,30
115,Device on Table,-1
116,Dumbbell Deadlift Row,32
117,Jumping Jacks,30
118,Non-Exercise,-1
119,Plank,-1
120,Power Boat pose,-1
121,Pushups,15
122,Side Plank Left side,-1
123,Side Plank Right side,-1
124,Sit-ups,31
125,Squat,31
126,Squat Jump,30
127,Tap Left Device,-1
128,Tap Right Device,-1
129,Walk,-1
130,Walking lunge,30
131,Bicep Curl,30
132,Device on Table,-1
133,Dumbbell Deadlift Row,30
134,Jumping Jacks,30
135,Non-Exercise,-1
136,Plank,-1
137,Power Boat pose,-1
138,Pushups,20
139,Side Plank Left side,-1
140,Side Plank Right side,-1
141,Sit-ups,30
142,Squat,30
143,Squat Jump,25
144,Tap Left Device,-1
145,Tap Right Device,-1
146,Walk,-1
147,Walking lunge,30
148,Arm Band Adjustment,-1
149,Bicep Curl,30
150,Biceps Curl (band),20
151,Burpee,10
152,Butterfly Sit-up,19
153,Chest Press (rack),20
154,Crunch,30
155,Device on Table,-1
156,Dip,20
157,Dumbbell Deadlift Row,20
158,Dumbbell Row (knee on bench) (label spans both arms),30
159,Dumbbell Squat (hands at side),25
160,Dynamic Stretch (at your own pace),-1
161,Elliptical machine,-1
162,Fast Alternating Punches,-1
163,Jump Rope,-1
164,Jumping Jacks,30
165,Kettlebell Swing,20
166,Lateral Raise,20
167,Lawnmower (left arm),15
168,Lawnmower (right arm),17
169,"Lunge (alternating both legs, weight optional)",18
170,Medicine Ball Slam,20
171,Non-Exercise,-1
172,Overhead Triceps Extension,21
173,Plank,-1
174,Power Boat pose,-1
175,Pushup (knee or foot variation),15
176,Pushups,15
177,Repetitive Stretching,-1
178,Rowing machine,-1
179,Running (treadmill),-1
180,Russian Twist,25
181,Seated Back Fly,20
182,Shoulder Press (dumbbell),15
183,Side Plank Left side,-1
184,Side Plank Right side,-1
185,Sit-up (hands positioned behind head),15
186,Sit-ups,30
187,Squat,30
188,"Squat (arms in front of body, parallel to ground)",30
189,Squat (hands behind head),20
190,Squat (kettlebell / goblet),14
191,Squat Jump,30
192,Squat Rack Shoulder Press,20
193,Static Stretch (at your own pace),-1
194,Tap Left Device,-1
195,Tap Right Device,-1
196,Triceps Kickback (knee on bench) (label spans both arms),20
197,Triceps extension (lying down),23
198,"Two-arm Dumbbell Curl (both arms, not alternating)",10
199,V-up,15
200,Walk,-1
201,Walking lunge,28
202,Wall Ball,21
203,Wall Squat,-1
204,Bicep Curl,30
205,Device on Table,-1
206,Dumbbell Deadlift Row,30
207,Jumping Jacks,30
208,Non-Exercise,-1
209,Plank,-1
210,Power Boat pose,-1
211,Pushups,20
212,Side Plank Left side,-1
213,Side Plank Right side,-1
214,Sit-ups,29
215,Squat,30
216,Squat Jump,30
217,Tap Left Device,-1
218,Tap Right Device,-1
219,Walk,-1
220,Walking lunge,30
221,Bicep Curl,31
222,Box Jump (on bench),15
223,Burpee,15
224,Device on Table,-1
225,Dip,20
226,Dumbbell Deadlift Row,30
227,Dumbbell Row (knee on bench) (label spans both arms),30
228,Jumping Jacks,30
229,Lawnmower (label spans both arms),30
230,"Lunge (alternating both legs, weight optional)",30
231,Medicine Ball Slam,15
232,Non-Exercise,-1
233,Overhead Triceps Extension,20
234,Plank,-1
235,Power Boat pose,-1
236,Pushup (knee or foot variation),20
237,Pushups,20
238,Russian Twist,15
239,Shoulder Press (dumbbell),20
240,Side Plank Left side,-1
241,Side Plank Right side,-1
242,Sit-up (hands positioned behind head),20
243,Sit-ups,31
244,Squat,30
245,"Squat (arms in front of body, parallel to ground)",31
246,Squat Jump,31
247,Tap Left Device,-1
248,Tap Right Device,-1
249,Triceps Kickback (knee on bench) (label spans both arms),30
250,"Two-arm Dumbbell Curl (both arms, not alternating)",20
251,V-up,20
252,Walk,-1
253,Walking lunge,30
254,Wall Ball,15
255,Bicep Curl,20
256,Device on Table,-1
257,Dumbbell Deadlift Row,20
258,Jumping Jacks,25
259,Non-Exercise,-1
260,Plank,-1
261,Power Boat pose,-1
262,Pushups,15
263,Side Plank Left side,-1
264,Side Plank Right side,-1
265,Sit-ups,15
266,Squat,25
267,Squat Jump,20
268,Tap Left Device,-1
269,Tap Right Device,-1
270,Walk,-1
271,Walking lunge,30
272,Arm Band Adjustment,-1
273,Bicep Curl,61
274,Device on Table,-1
275,Dumbbell Deadlift Row,60
276,Jumping Jacks,60
277,Non-Exercise,-1
278,Plank,-1
279,Power Boat pose,-1
280,Pushups,60
281,Side Plank Left side,-1
282,Side Plank Right side,-1
283,Sit-ups,60
284,Squat,60
285,Squat Jump,61
286,Tap Left Device,-1
287,Tap Right Device,-1
288,Walk,-1
289,Walking lunge,60
290,Bicep Curl,30
291,Device on Table,-1
292,Dumbbell Deadlift Row,23
293,Jumping Jacks,30
294,Non-Exercise,-1
295,Plank,-1
296,Power Boat pose,-1
297,Pushups,15
298,Side Plank Left side,-1
299,Side Plank Right side,-1
300,Sit-ups,20
301,Squat,25
302,Squat Jump,23
303,Tap Left Device,-1
304,Tap Right Device,-1
305,Walk,-1
306,Walking lunge,22
307,Bicep Curl,46
308,Device on Table,-1
309,Dumbbell Deadlift Row,25
310,Jumping Jacks,25
311,Non-Exercise,-1
312,Plank,-1
313,Power Boat pose,-1
314,Pushups,17
315,Side Plank Left side,-1
316,Side Plank Right side,-1
317,Sit-ups,30
318,Squat,25
319,Squat Jump,20
320,Tap Left Device,-1
321,Tap Right Device,-1
322,Walk,-1
323,Walking lunge,23
324,Bicep Curl,30
325,Burpee,11
326,Butterfly Sit-up,25
327,Crunch,25
328,Device on Table,-1
329,Dip,20
330,Dumbbell Deadlift Row,30
331,Dumbbell Row (knee on bench) (label spans both arms),30
332,Dumbbell Squat (hands at side),20
333,Dynamic Stretch (at your own pace),-1
334,Fast Alternating Punches,-1
335,Jump Rope,-1
336,Jumping Jacks,30
337,Kettlebell Swing,20
338,Lateral Raise,10
339,"Lunge (alternating both legs, weight optional)",20
340,Non-Exercise,-1
341,Note,-1
342,Overhead Triceps Extension,25
343,Plank,-1
344,Power Boat pose,-1
345,Pushup (knee or foot variation),20
346,Pushups,20
347,Russian Twist,50
348,Seated Back Fly,10
349,Shoulder Press (dumbbell),25
350,Side Plank Left side,-1
351,Side Plank Right side,-1
352,Sit-up (hands positioned behind head),15
353,Sit-ups,30
354,Squat,25
355,"Squat (arms in front of body, parallel to ground)",30
356,Squat Jump,26
357,Squat Rack Shoulder Press,10
358,Static Stretch (at your own pace),-1
359,Static stretch,-1
360,Tap Left Device,-1
361,Tap Right Device,-1
362,Triceps Kickback (knee on bench) (label spans both arms),40
363,"Two-arm Dumbbell Curl (both arms, not alternating)",25
364,V-up,20
365,Walk,-1
366,Walking lunge,30
367,Wall Squat,-1
368,Arm Band Adjustment,-1
369,Bicep Curl,28
370,Burpee,12
371,Butterfly Sit-up,15
372,Crunch,19
373,Device on Table,-1
374,Dip,8
375,Dumbbell Deadlift Row,26
376,Dumbbell Row (knee on bench) (label spans both arms),30
377,Dumbbell Squat (hands at side),14
378,Dynamic Stretch (at your own pace),-1
379,Fast Alternating Punches,-1
380,Jump Rope,-1
381,Jumping Jacks,30
382,Kettlebell Swing,15
383,Lateral Raise,14
384,"Lunge (alternating both legs, weight optional)",20
385,Non-Exercise,-1
386,Overhead Triceps Extension,15
387,Plank,-1
388,Power Boat pose,-1
389,Pushup (knee or foot variation),9
390,Pushups,20
391,Repetitive Stretching,-1
392,Russian Twist,36
393,Seated Back Fly,15
394,Shoulder Press (dumbbell),14
395,Side Plank Left side,-1
396,Side Plank Right side,-1
397,Sit-up (hands positioned behind head),15
398,Sit-ups,26
399,Squat,15
400,"Squat (arms in front of body, parallel to ground)",19
401,Squat Jump,19
402,Squat Rack Shoulder Press,15
403,Static Stretch (at your own pace),-1
404,Static stretch,-1
405,Tap Left Device,-1
406,Tap Right Device,-1
407,Triceps Kickback (knee on bench) (label spans both arms),19
408,"Two-arm Dumbbell Curl (both arms, not alternating)",15
409,V-up,15
410,Walk,-1
411,Walking lunge,20
412,Wall Squat,-1
413,Arm Band Adjustment,-1
414,Band Pull-Down Row,20
415,Bicep Curl,30
416,Biceps Curl (band),20
417,Box Jump (on bench),11
418,Burpee,10
419,Chest Press (rack),20
420,Device on Table,-1
421,Dip,15
422,Dumbbell Deadlift Row,30
423,Dumbbell Row (knee on bench) (label spans both arms),30
424,Elliptical machine,-1
425,Jumping Jacks,30
426,Lawnmower (label spans both arms),30
427,Lawnmower (left arm),20
428,Lawnmower (right arm),20
429,"Lunge (alternating both legs, weight optional)",20
430,Medicine Ball Slam,10
431,Non-Exercise,-1
432,Overhead Triceps Extension,14
433,Plank,-1
434,Power Boat pose,-1
435,Pushup (knee or foot variation),15
436,Pushups,15
437,Rowing machine,-1
438,Running (treadmill),-1
439,Russian Twist,20
440,Shoulder Press (dumbbell),20
441,Side Plank Left side,-1
442,Side Plank Right side,-1
443,Sit-up (hands positioned behind head),15
444,Sit-ups,30
445,Squat,30
446,"Squat (arms in front of body, parallel to ground)",20
447,Squat (hands behind head),20
448,Squat (kettlebell / goblet),20
449,Squat Jump,20
450,Tap Left Device,-1
451,Tap Right Device,-1
452,Triceps Kickback (knee on bench) (label spans both arms),30
453,Triceps extension (lying down),20
454,"Two-arm Dumbbell Curl (both arms, not alternating)",20
455,V-up,16
456,Walk,-1
457,Walking lunge,30
458,Wall Ball,10
459,Arm Band Adjustment,-1
460,Band Pull-Down Row,15
461,Bicep Curl,30
462,Biceps Curl (band),15
463,Box Jump (on bench),10
464,Burpee,12
465,Chest Press (rack),15
466,Device on Table,-1
467,Dip,15
468,Dumbbell Deadlift Row,30
469,Dumbbell Row (knee on bench) (label spans both arms),30
470,Elliptical machine,-1
471,Jumping Jacks,30
472,Lawnmower (label spans both arms),20
473,Lawnmower (left arm),15
474,Lawnmower (right arm),15
475,"Lunge (alternating both legs, weight optional)",20
476,Medicine Ball Slam,10
477,Non-Exercise,-1
478,Overhead Triceps Extension,15
479,Plank,-1
480,Power Boat pose,-1
481,Pushup (knee or foot variation),20
482,Pushups,16
483,Rowing machine,-1
484,Running (treadmill),-1
485,Russian Twist,21
486,Shoulder Press (dumbbell),15
487,Side Plank Left side,-1
488,Side Plank Right side,-1
489,Sit-up (hands positioned behind head),20
490,Sit-ups,30
491,Squat,30
492,"Squat (arms in front of body, parallel to ground)",30
493,Squat (hands behind head),15
494,Squat (kettlebell / goblet),15
495,Squat Jump,22
496,Tap Left Device,-1
497,Tap Right Device,-1
498,Triceps Kickback (knee on bench) (label spans both arms),30
499,Triceps extension (lying down),15
500,"Two-arm Dumbbell Curl (both arms, not alternating)",20
501,V-up,15
502,Walk,-1
503,Walking lunge,30
504,Wall Ball,10
505,Bicep Curl,20
506,Device on Table,-1
507,Dumbbell Deadlift Row,18
508,Jumping Jacks,27
509,Non-Exercise,-1
510,Plank,-1
511,Power Boat pose,-1
512,Pushups,21
513,Side Plank Left side,-1
514,Side Plank Right side,-1
515,Sit-ups,24
516,Squat,20
517,Squat Jump,18
518,Tap Left Device,-1
519,Tap Right Device,-1
520,Walk,-1
521,Walking lunge,18
522,Bicep Curl,25
523,Device on Table,-1
524,Dumbbell Deadlift Row,26
525,Jumping Jacks,25
526,Non-Exercise,-1
527,Plank,-1
528,Power Boat pose,-1
529,Pushups,17
530,Repetitive Stretching,-1
531,Side Plank Left side,-1
532,Side Plank Right side,-1
533,Sit-ups,30
534,Squat,25
535,Squat Jump,25
536,Tap Left Device,-1
537,Tap Right Device,-1
538,Walk,-1
539,Walking lunge,30
540,Bicep Curl,30
541,Device on Table,-1
542,Dumbbell Deadlift Row,21
543,Jumping Jacks,30
544,Non-Exercise,-1
545,Plank,-1
546,Power Boat pose,-1
547,Pushups,15
548,Side Plank Left side,-1
549,Side Plank Right side,-1
550,Sit-ups,25
551,Squat,19
552,Squat Jump,20
553,Tap Left Device,-1
554,Tap Right Device,-1
555,Walk,-1
556,Walking lunge,30
557,Burpee,9
558,Device on Table,-1
559,Dip,21
560,Dumbbell Row (knee on bench) (label spans both arms),30
561,"Lunge (alternating both legs, weight optional)",20
562,Non-Exercise,-1
563,Overhead Triceps Extension,20
564,Plank,-1
565,Pushup (knee or foot variation),20
566,Repetitive Stretching,-1
567,Shoulder Press (dumbbell),20
568,Sit-up (hands positioned behind head),21
569,"Squat (arms in front of body, parallel to ground)",20
570,Tap Left Device,-1
571,Tap Right Device,-1
572,Triceps Kickback (knee on bench) (label spans both arms),30
573,"Two-arm Dumbbell Curl (both arms, not alternating)",21
574,V-up,15
575,Burpee,15
576,Device on Table,-1
577,Dip,20
578,Dumbbell Row (knee on bench) (label spans both arms),30
579,"Lunge (alternating both legs, weight optional)",30
580,Non-Exercise,-1
581,Overhead Triceps Extension,20
582,Plank,-1
583,Pushup (knee or foot variation),15
584,Repetitive Stretching,-1
585,Shoulder Press (dumbbell),15
586,Sit-up (hands positioned behind head),17
587,"Squat (arms in front of body, parallel to ground)",30
588,Static stretch,-1
589,Tap Left Device,-1
590,Tap Right Device,-1
591,Triceps Kickback (knee on bench) (label spans both arms),30
592,"Two-arm Dumbbell Curl (both arms, not alternating)",20
593,V-up,20
594,Arm Band Adjustment,-1
595,Burpee,9
596,Device on Table,-1
597,Dip,15
598,Dumbbell Row (knee on bench) (label spans both arms),29
599,"Lunge (alternating both legs, weight optional)",22
600,Non-Exercise,-1
601,Overhead Triceps Extension,20
602,Plank,-1
603,Pushup (knee or foot variation),21
604,Shoulder Press (dumbbell),15
605,Sit-up (hands positioned behind head),15
606,"Squat (arms in front of body, parallel to ground)",30
607,Static stretch,-1
608,Tap Left Device,-1
609,Tap Right Device,-1
610,Triceps Kickback (knee on bench) (label spans both arms),30
611,"Two-arm Dumbbell Curl (both arms, not alternating)",19
612,V-up,16
613,Burpee,9
614,Device on Table,-1
615,Dip,20
616,Dumbbell Row (knee on bench) (label spans both arms),30
617,"Lunge (alternating both legs, weight optional)",20
618,Non-Exercise,-1
619,Overhead Triceps Extension,19
620,Plank,-1
621,Pushup (knee or foot variation),18
622,Repetitive Stretching,-1
623,Shoulder Press (dumbbell),16
624,Sit-up (hands positioned behind head),21
625,"Squat (arms in front of body, parallel to ground)",27
626,Static stretch,-1
627,Tap Left Device,-1
628,Tap Right Device,-1
629,Triceps Kickback (knee on bench) (label spans both arms),30
630,"Two-arm Dumbbell Curl (both arms, not alternating)",18
631,V-up,17
632,Bicep Curl,31
633,Device on Table,-1
634,Dumbbell Deadlift Row,30
635,Jumping Jacks,27
636,Non-Exercise,-1
637,Plank,-1
638,Power Boat pose,-1
639,Pushups,20
640,Side Plank Left side,-1
641,Side Plank Right side,-1
642,Sit-ups,29
643,Squat,30
644,Squat Jump,30
645,Tap Left Device,-1
646,Tap Right Device,-1
647,Walk,-1
648,Walking lunge,30
649,Arm Band Adjustment,-1
650,Bicep Curl,29
651,Device on Table,-1
652,Dumbbell Deadlift Row,30
653,Jumping Jacks,30
654,Non-Exercise,-1
655,Plank,-1
656,Power Boat pose,-1
657,Pushups,15
658,Side Plank Left side,-1
659,Side Plank Right side,-1
660,Sit-ups,29
661,Squat,30
662,Squat Jump,30
663,Tap Left Device,-1
664,Tap Right Device,-1
665,Walk,-1
666,Walking lunge,28
667,Bicep Curl,30
668,Device on Table,-1
669,Dumbbell Deadlift Row,20
670,Jumping Jacks,30
671,Non-Exercise,-1
672,Plank,-1
673,Power Boat pose,-1
674,Pushups,18
675,Side Plank Left side,-1
676,Side Plank Right side,-1
677,Sit-ups,21
678,Squat,30
679,Squat Jump,20
680,Tap Left Device,-1
681,Tap Right Device,-1
682,Walk,-1
683,Walking lunge,30
684,Bicep Curl,30
685,Device on Table,-1
686,Dumbbell Deadlift Row,30
687,Jumping Jacks,30
688,Non-Exercise,-1
689,Plank,-1
690,Power Boat pose,-1
691,Pushups,18
692,Side Plank Left side,-1
693,Side Plank Right side,-1
694,Sit-ups,29
695,Squat,30
696,Squat Jump,20
697,Tap Left Device,-1
698,Tap Right Device,-1
699,Walk,-1
700,Walking lunge,30
701,Bicep Curl,30
702,Device on Table,-1
703,Dumbbell Deadlift Row,30
704,Jumping Jacks,30
705,Non-Exercise,-1
706,Plank,-1
707,Power Boat pose,-1
708,Pushups,20
709,Side Plank Left side,-1
710,Side Plank Right side,-1
711,Sit-ups,30
712,Squat,30
713,Squat Jump,30
714,Tap Left Device,-1
715,Tap Right Device,-1
716,Walk,-1
717,Walking lunge,30
718,Burpee,9
719,Device on Table,-1
720,Dip,19
721,Dumbbell Row (knee on bench) (label spans both arms),22
722,"Lunge (alternating both legs, weight optional)",24
723,Non-Exercise,-1
724,Overhead Triceps Extension,14
725,Plank,-1
726,Pushup (knee or foot variation),14
727,Repetitive Stretching,-1
728,Shoulder Press (dumbbell),17
729,Sit-up (hands positioned behind head),19
730,"Squat (arms in front of body, parallel to ground)",15
731,Static stretch,-1
732,Tap Left Device,-1
733,Tap Right Device,-1
734,Triceps Kickback (knee on bench) (label spans both arms),38
735,"Two-arm Dumbbell Curl (both arms, not alternating)",20
736,V-up,17
737,Arm Band Adjustment,-1
738,Burpee,15
739,Device on Table,-1
740,Dip,20
741,Dumbbell Row (knee on bench) (label spans both arms),30
742,"Lunge (alternating both legs, weight optional)",20
743,Non-Exercise,-1
744,Note,-1
745,Overhead Triceps Extension,20
746,Plank,-1
747,Pushup (knee or foot variation),20
748,Shoulder Press (dumbbell),15
749,Sit-up (hands positioned behind head),20
750,"Squat (arms in front of body, parallel to ground)",30
751,Tap Left Device,-1
752,Tap Right Device,-1
753,Triceps Kickback (knee on bench) (label spans both arms),30
754,"Two-arm Dumbbell Curl (both arms, not alternating)",20
755,V-up,20
756,Burpee,8
757,Device on Table,-1
758,Dip,14
759,Dumbbell Row (knee on bench) (label spans both arms),20
760,"Lunge (alternating both legs, weight optional)",19
761,Non-Exercise,-1
762,Overhead Triceps Extension,17
763,Plank,-1
764,Pushup (knee or foot variation),20
765,Shoulder Press (dumbbell),15
